ID;Category;Source;URLs;Title;cleanedTitle;MediaPlatform;MediaFormat;EmbeddedExternalVideo;PublicationDate;Country;Language;Setting;MusicMakerProfessionalism;Movement;HealthInfo;Conflict;Emotions;Features;FirstCoder;SecondCoder
194;media;GoogleSheet;https://www.repubblica.it/londra/2020/04/02/news/_volare_da_un_capo_all_altro_del_mondo_un_canzone_dai_balconi_italiani_virtuali-252795099/;Italians in the world singing from virtual balconies to express solidarity towards family and friends in Italy;Italians in the world singing from virtual balconies to express solidarity towards family and friends in Italy;La Repubblica;writtenDigital;0;02-04-2020;Italy;Italian;home, online;amateur;0;0;0;loneliness, togetherness, happiness, being moved, togetherness;virtual performance, joint singing, participatory music making;NCH;MT
291;media;GoogleSheet;https://www.roh.org.uk/news/the-royal-opera-house-launches-a-programme-of-free-online-content-for-the-culturally-curious-at-home;The Royal Opera House launches a programme of free online content for the culturally curious at home;The Royal Opera House launches a programme of free online content for the culturally curious at home;Royal Opera House London;writtenDigital;0;20-03-2020;UK;English;online, home;prof;1;0;0;togetherness;livestream, virtual performance;DS;MT
299;media;GoogleSheet;https://www.theguardian.com/culture/2020/mar/23/isolaid-livestreamed-music-festival-brings-community-and-joy-to-a-frightening-weekend;Isolaid: livestreamed music festival brings community and joy to a frightening weekend;Isolaid livestreamed music festival brings community and joy to a frightening weekend;The Guardian;writtenDigital;0;23-03-2020;UK;English;online, home;prof;0;0;0;togetherness, happiness, joy;virtual concert, festival, virtual performance;MT;JW
318;media;GoogleSheet;https://www.billboard.com/articles/columns/pop/9335531/coronavirus-quarantine-music-events-online-streams;Here are all the livestreams & virtual concerts to watch during coronavirus crisis (Updating) ;Here are all the livestreams  virtual concerts to watch during coronavirus crisis Updating ;Billboard;writtenDigital;0;13-03-2020;USA;English;online, venue;prof;0;0;0;togetherness, joy, safety;festival, livestream, virtual performance, virtual concert;DS;JW
325;media;GoogleSheet;https://www.icelandreview.com/news/icelandic-museum-of-rock-n-roll-to-live-stream-concerts;Icelandic Museum of Rock ‘n’ Roll to Live Stream Concerts;Icelandic Museum of Rock n Roll to Live Stream Concerts;Iceland Review;writtenDigital;0;27-03-2020;Iceland;English;online, venue;prof;0;0;0;NA;livestream, virtual concert, virtual performance;NCH;JW
326;media;GoogleSheet;https://www.stereogum.com/2080029/american-football-minecraft-festival/news/;American Football Headline A Festival In Minecraft;American Football Headline A Festival In Minecraft;Stereogum;writtenDigital, video;1;11-04-2020;USA;English;online, minecraft;prof;0;0;0;NA;virtual concert, gaming, minecraft, virtual performance;JB;JW
327;media;GoogleSheet;https://www.stereogum.com/2081301/100-gecs-minecraft-festival-square-garden-charli-xcx-kero-kero-bonito-a-g-cook/news/;100 gecs Announce Minecraft Festival With Charli XCX, Kero Kero Bonito, A.G. Cook, & More; gecs Announce Minecraft Festival With Charli XCX Kero Kero Bonito AG Cook  More;Stereogum;writtenDigital;0;16-04-2020;USA;English;studio, online;prof;0;0;0;togetherness, happiness;virtual concert, gaming, minecraft, virtual performance;JV;JW
328;media;GoogleSheet;https://www.rollingstone.com/music/music-news/twitter-listening-parties-quarantine-983508/;Direct Message: How Oasis, Blur, and More Are Bringing ‘Twitter Listening Parties’ to Fans;Direct Message How Oasis Blur and More Are Bringing Twitter Listening Parties to Fans;Rolling Stone;writtenDigital;0;15-04-2020;USA;English;online;prof;0;0;0;togetherness, happiness, nostalgia;listening party, twitter;MT;JW
329;media;GoogleSheet;https://consequenceofsound.net/2020/04/david-guetta-dj-set-miami/;David Guetta Performs DJ Set From Miami Rooftop, Raises $700,000;David Guetta Performs DJ Set From Miami Rooftop Raises ;Consequence of Sound;writtenDigital;1;20-04-2020;USA;English;online, outside, home;prof;1;0;0;happiness, togetherness;livestream, virtual concert, virtual performance;JV;JW
345;media;GoogleSheet;https://www.complex.com/music/2020/04/travis-scott-fortnite-concert-review;"Travis Scott ""Fortnite"" concert";Travis Scott Fortnite concert;Complex;writtenDigital;1;24-04-2020;USA;English;online, home;prof;1;0;0;happiness, togetherness, humour, fun;virtual concert, gaming, fortnight, virtual performance;MT;JW
347;media;GoogleSheet;https://www.spin.com/2020/04/metallica-to-stream-classic-1991-black-album-era-show/;"""Metallica Mondays"" series of archival concert streams";Metallica Mondays series of archival concert streams;Spin;writtenDigital;1;27-04-2020;USA;English;online, venue;prof;0;0;0;togetherness, nostalgia, excitement;streaming, old concert, metallica;JV;JW
352;media;GoogleSheet;https://www.spin.com/2020/04/radiohead-shares-stream-of-coachella-2012-set/;Radiohead's weekly streaming concert series;Radioheads weekly streaming concert series;Spin;writtenDigital;1;30-04-2020;USA;English;online;prof;0;0;0;excitement, togetherness;festival, online;DS;JW
357;media;GoogleSheet;https://music.avclub.com/singer-songwriter-frances-quinlan-wows-with-an-intimate-1843187389;Frances Quinlan's performance on the ongiong AVClub's AVC Sessions: House Shows Series;Frances Quinlans performance on the ongiong AVClubs AVC Sessions House Shows Series;AV Club;writtenDigital, video;0;30-04-2020;USA;English;home;prof;0;0;0;togetherness;virtual concert, virtual performance;MT;JW
367;media;GoogleSheet;https://consequenceofsound.net/2020/05/prince-and-the-revolution-film-streaming;Prince and the Revolution Concert Film to Stream on YouTube This Weekend;Prince and the Revolution Concert Film to Stream on YouTube This Weekend;Consequence of Sound;writtenDigital;1;13-05-2020;USA;English;online;prof;0;0;0;NA;streaming, old concert;JB;JW
368;media;GoogleSheet;https://www.stereogum.com/2084085/she-him-zooey-deschanel-m-ward-beach-boys-cover/video/;Watch She & Him’s Socially Distant Cover Of The Beach Boys’ “Darlin'”;Watch She  Hims Socially Distant Cover Of The Beach Boys Darlin;Stereogum;writtenDigital;1;11-05-2020;USA;English;online, home;prof;0;0;0;happiness;splitscreen;JV;JW
369;media;GoogleSheet;https://www.stereogum.com/2084113/weezer-rivers-cuomo-nirvana-cover/video/;Watch Weezer’s Rivers Cuomo Cover Nirvana’s “Heart-Shaped Box” On Zoom;Watch Weezers Rivers Cuomo Cover Nirvanas HeartShaped Box On Zoom;Stereogum;writtenDigital;1;11-05-2020;USA;English;online, home;prof;0;0;0;grief/sadness, being moved;cover album;JV;JW
370;media;GoogleSheet;https://www.rollingstone.com/music/music-news/pink-floyd-david-gilmour-syd-barrett-solo-songs-997543/;Watch Pink Floyd’s David Gilmour Sing Two Syd Barrett Solo Songs;Watch Pink Floyds David Gilmour Sing Two Syd Barrett Solo Songs;Rolling Stone;writtenDigital;1;11-05-2020;USA;English;online, venue;prof;0;0;0;togetherness, happiness, being moved;interview, virtual concert, virtual performance;JV;JW
371;media;GoogleSheet;https://consequenceofsound.net/2020/05/josh-homme-queens-of-the-stone-age-bathroom-watch/;Josh Homme Performs a Queens of the Stone Age Song in His Bathroom: Watch;Josh Homme Performs a Queens of the Stone Age Song in His Bathroom Watch;Consequence of Sound;writtenDigital;1;11-05-2020;USA;English;online, home;prof;0;0;0;NA;NA;NCH;JW
416;media;GoogleSheet;https://theconversation.com/singing-away-the-coronavirus-blues-making-music-in-a-time-of-crisis-reminds-us-we-belong-133790;Singing away the coronavirus blues: making music in a time of crisis reminds us we belong - The Conversation;Singing away the coronavirus blues making music in a time of crisis reminds us we belong  The Conversation;The Conversation;writtenDigital;1;25-03-2020;UK;English;home, outside;amateur;0;0;0;gratitude, togetherness, being moved;participatory music making;MT;JV
418;media;GoogleSheet;https://www.kristeligt-dagblad.dk/kultur/morgensang-skaber-faellesskab-paa-trods-af-isolation;Kristeligt Dagblad (newspaper) on daily morning singing on Danish television;Kristeligt Dagblad newspaper on daily morning singing on Danish television;Kristeligt Dagblad;writtenDigital, audio;0;18-03-2020;Denmark;Danish;home, radio;prof, amateur;0;0;0;togetherness;joint singing;MT;JB
419;media;GoogleSheet;https://www.dr.dk/om-dr/fakta-om-dr/programaendringer/dr1-giver-danskerne-mulighed-synge-sammen-fredag-aften;Danish Public Television (DR) on their Friday night sing-together show;Danish Public Television DR on their Friday night singtogether show;DR;writtenDigital;0;26-03-2020;Denmark;Danish;home;prof, amateur;0;0;0;togetherness;joint singing;MT;NCH
420;media;GoogleSheet;https://www.theguardian.com/world/2020/mar/14/solidarity-balcony-singing-spreads-across-italy-during-lockdown;The Italians Making Music on Balconies Under Coronavirus Quarantine - The New Yorker;The Italians Making Music on Balconies Under Coronavirus Quarantine  The New Yorker;The Guardian;writtenDigital, video;0;14-03-2020;UK;English;home, balcony;amateur, prof;0;0;0;togetherness, happiness, being moved;performance, balcony;MT;DS
421;media;GoogleSheet;https://toronto.ctvnews.ca/opera-singer-spreads-joy-to-isolated-torontonians-with-balcony-performances-1.4867946;Opera singer spreads joy to isolated Torontonians with balcony performances - Toronto CTV News;Opera singer spreads joy to isolated Torontonians with balcony performances  Toronto CTV News;CTV News;writtenDigital;0;25-03-2020;Canada;English;balcony;prof;0;0;0;togetherness, happiness, being moved;NA;MT;NCH
422;media;GoogleSheet;https://www.narcity.com/people/ca/on/toronto/toronto-opera-singer-julie-nesrallah-is-serenading-the-city-from-her-balcony-video;A Toronto Opera Singer Is Serenading The City From Her Balcony - Narcity;A Toronto Opera Singer Is Serenading The City From Her Balcony  Narcity;Narcity;writtenDigital;1;18-03-2020;Canada;English;balcony;prof;0;0;0;togetherness, being moved;NA;MT;JV
424;media;GoogleSheet;https://www.information.dk/kultur/2020/03/phillip-fabers-morgensang-gav-ti-minutter-foraaret-fik-lov-vokse-vores-stue-uden-coronakaos;Information (newspaper) on daily morning singing on Danish television;Information newspaper on daily morning singing on Danish television;Information;writtenDigital;0;26-03-2020;Denmark;Danish;home;prof;0;0;0;togetherness;joint singing;MT;JB
425;media;GoogleSheet;https://www.artshub.com.au/news-article/opinions-and-analysis/covid-19/trisnasari-fraser/music-across-the-balconies-social-cohesion-and-community-resilience-in-action-260050;Music across the balconies: social cohesion and community resilience in action - ArtsHub;Music across the balconies social cohesion and community resilience in action  ArtsHub;ArtsHub;writtenDigital, video;0;25-03-2020;Australia;English;online, venue, balcony;amateur;1;1;1;togetherness;music industry;MT;JB
426;media;GoogleSheet;https://www.edinburghnews.scotsman.com/news/people/watch-leiths-banana-flats-belts-out-sunshine-leith-show-support-nations-key-workers-2504626;Leith's Banana Flats belts out Sunshine on Leith in show of support for nation's key workers: Leithers united in song to lift community spirits;Leiths Banana Flats belts out Sunshine on Leith in show of support for nations key workers Leithers united in song to lift community spirits;Edinburgh Evening News;writtenDigital, video;0;21-03-2020;UK;English;home, balcony;amateur;0;0;0;gratitude, togetherness, happiness;NA;MT;NCH
428;media;GoogleSheet;https://www.agcra.com/army-bands-keep-us-connected/;Army bands keep us connected;Army bands keep us connected;AGCRA;writtenDigital;0;24-03-2020;USA;English;military base, online;prof;0;0;0;togetherness;patriotism, virtual performance;MT;JB
429;media;GoogleSheet;https://www.weekendavisen.dk/2020-13/ideer/faellesskab-fra-foerste-strofe;Fællesskab fra første strofe - Danish newspaper Weekendavisen on corona music;Fllesskab fra frste strofe  Danish newspaper Weekendavisen on corona music;Weekendavisen;writtenDigital, writtenPrint;0;27-03-2020;Denmark;Danish;home, balcony;amateur, prof;0;0;0;togetherness;NA;MT;NCH
431;media;GoogleSheet;https://news.westernu.ca/2020/03/pandemic-has-led-to-global-outbreak-of-music/;Pandemic has led to global outbreak of music - Western News;Pandemic has led to global outbreak of music  Western News;Western News;writtenDigital, video;1;25-03-2020;Canada;English;home, balcony;amateur, prof;0;0;0;gratitude, togetherness, happiness;NA;MT;NCH
432;media;GoogleSheet;https://winnipeg.citynews.ca/video/2020/03/24/finding-ways-to-celebrate-through-difficult-times/;Drive-thru Dance Party (Vaughan, ON, Canada);Drivethru Dance Party Vaughan ON Canada;City News;video;0;24-03-2020;Canada;English;outside;amateur;1;0;0;togetherness, happiness;video interview, dance;MT;NCH
434;media;GoogleSheet;https://www.psychreg.org/virtual-group-singing-covid-19/;Virtual Group Singing in the Time of COVID-19: Frivolous or Vitally Important? - Psychreg;Virtual Group Singing in the Time of COVID Frivolous or Vitally Important  Psychreg;Psychreg;writtenDigital;0;25-03-2020;UK;English;online;amateur;0;0;0;togetherness;participatory music making;MT;JB
435;media;GoogleSheet;https://www.dr.dk/nyheder/kultur/kendte-danske-musikere-broed-ud-i-faellessang-det-er-den-smukkeste-maade-vise;Kendte danske musikere brød ud i fællessang: 'Det er den smukkeste måde at vise sammenhold på' - Danish National Radio on Friday night TV show for singing together;Kendte danske musikere brd ud i fllessang Det er den smukkeste mde at vise sammenhold p  Danish National Radio on Friday night TV show for singing together;DR;writtenDigital, video;0;27-03-2020;Denmark;Danish;home;prof, amateur;0;0;0;gratitude, togetherness, happiness, being moved;tv, patriotism, joint singing, participatory music making;MT;NCH
