ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;LyricsLanguage;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder
711;video;SurveyXact;https://www.youtube.com/watch?v=uF3dg5seGLs;CORONA VIRUS ???? - Yofrangel (Official Video);09-02-2020;YouTube;NA;NA;1;1;1;1;0;0;Dominican Republic;spanish;ambulance, healthcare;rap/hip-hop, soul/R&B;humour;music video;MT;JB
773;video;SurveyXact;https://www.youtube.com/watch?v=i_QXvh8fVPI;"A parody to the song ""Torn"" originally by Natalie Imbruglia about the situation in Hong Kong in response to the #conronavirus crisis.";09-02-2020;YouTube;NA;NA;0;0;1;0;0;0;China, Hong Kong;english;venue;pop, rock;humour, frustration;NA;MT;NCH
917;video;SurveyXact;https://www.youtube.com/watch?v=ZRqMJm6TPmA, other link, possibly the original: https://www.facebook.com/518989621564199/videos/187315319141095, other info on the video: https://mp.weixin.qq.com/s/o5OI6Ai4ZOsbhj1Qg5pOsw;Expat musicians present heart-touching music video to support China;11-02-2020;Facebook;NA;NA;1;0;1;0;0;0;China, Cuba;english;home, outside;pop;gratitude;music video;MT;DS
927;video;SurveyXact;https://www.youtube.com/watch?v=1x3OLKiaxNw;Wenzhou Heroic Nurse Drum-Song;13-02-2020;YouTube;NA;NA;0;1;1;0;NA;0;China;chinese;venue, traditional stage, home;classical, world, traditional chinese;gratitude;wenzhou drums, dialects, frontline, instructional;DS;DS
120;video;GoogleSheet;https://www.youtube.com/watch?v=BtulL3oArQw, https://www.youtube.com/watch?v=V9YirNgAzXI;"""Jealous Coronavirus"" music video from Vietnamese Health Dept. w/ English subtitles";23-02-2020;YouTube;NA;NA;1;1;1;1;1;0;Vietnam;vietnamese;animation, home;dance/electronica, pop;humour, togetherness, happiness;cartoon, animation;MT, JW;DS
204;video;GoogleSheet;https://www.youtube.com/watch?v=lFd4NThBmfo;EDEN - The Earth must survive - 3 dancers, dancing  at safe distance;26-02-2020;YouTube;NA;NA;1;0;0;1;0;0;Italy;NA;venue;classical;fear, being moved;dance;MT;JB
763;video;SurveyXact;https://www.youtube.com/watch?v=lFd4NThBmfo;Ballet music during the Covid-19. Only 3 dancers at safe distance;26-02-2020;YouTube;NA;NA;1;1;0;1;0;0;Italy;NA;venue, ballet stage;classical, ballet, dance/electronica;fear, loneliness, grief/sadness;dance;MT;DS
765;video;SurveyXact;https://www.youtube.com/watch?v=Brf7g_w1T5M;Percy - Rap [War With the Virus Rap] . CoronaVirus Rap song;26-02-2020;YouTube;NA;NA;0;1;1;0;1;0;Ghana, China;chinese;outside, home;rap/hip-hop, dance/electronica;gratitude, togetherness, hope;still, compilation, patriotism;MT;NCH
124;video;GoogleSheet;https://www.instagram.com/p/B9FFVnigLEE/?utm_source=ig_embed, https://www.youtube.com/watch?v=OxYifqWm34M;Iranian theater actor, Danial Kheirikhah, 1-minute hand-washing video;27-02-2020;Instagram, Youtube;NA;NA;0;0;0;1;1;0;Iran;NA;home, studio, white wall;classical;humour, being moved;black & white, parody, handwashing;MT;JV, JB
1001;video;Retrospective;https://www.youtube.com/watch?v=h2HbTRKdipI;La canzone del coronavirus;27-02-2020;YouTube;27-02-2020;Italy;0;0;1;0;0;1;Italy;italian;home, studio;pop, folk, country, rock;humour, hope;lyric video;DS;NCH
1002;video;Retrospective;https://www.youtube.com/watch?v=7E6UdWAhE9Q;corona virus arabic song #corona Bilal nakouzi ?????? ????? ????? ????? ????? ???? ??????? ??????;27-02-2020;YouTube;27-02-2020;Denmark;1;1;1;1;1;1;Lebanon, Syria;arabic;studio;world, pop, arabic pop;humour, fear, togetherness;music video, two songs;DS;NCH
1003;video;Retrospective;https://www.youtube.com/watch?v=MVqLWAUMhnY;"La Rimbamband ""VIRUS CORONA""";27-02-2020;YouTube;27-02-2020;UK;1;0;1;1;1;0;Italy;italian;home, studio;pop, rock;humour;coughing;DS;NCH
1004;video;Retrospective;https://www.youtube.com/watch?v=O2CuKCPSyXg;Go For Wuhan Style - Dr. Li - Coronavirus Hero;27-02-2020;YouTube;27-02-2020;USA;1;0;1;1;1;0;USA;english;hospital, outside, healthcare;pop, dance/electronica;humour, grief/sadness, feeling moved, happiness;music video, animation, dance;DS;NCH
1005;video;Retrospective;https://www.youtube.com/watch?v=uo7HB-slsm4;"My Corona | A ""My Sharona"" Viral Anthem";28-02-2020;YouTube;28-02-2020;USA;1;0;1;1;1;1;USA;english;outside, studio;oldies, rock, pop;humour;satire, chromakeying, splitscreen, conspiracy theory, lyric video, music video;JW;DS
1007;video;Retrospective;https://www.youtube.com/watch?v=3lEXlKy6HP8;A Coronavirus PSA From Vice President Mike Pence;28-02-2020;YouTube;28-02-2020;USA;1;0;1;0;0;1;USA;english;studio, venue, performance hall;oldies, folk-rock, rock;humour;satire, political, dubbing;JW;DS
1009;video;Retrospective;https://www.youtube.com/watch?v=aY8-N8-pn1I;My Corona;28-02-2020;YouTube;28-02-2020;USA;1;0;1;1;0;0;USA;english;studio, hospital, healthcare, cruise ship;rock, pop, oldies;humour;satire, music video, lyric video, chromakeying;JW;DS
1087;video;Retrospective;https://www.youtube.com/watch?v=Jx5JW2bouBY;Bello FiGO - CoronaVirus;28-02-2020;YouTube;28-02-2020;Italy;0;1;1;1;0;0;Italy;italian;outside, shop, street;rap/hip-hop;grief/sadness, being moved, humour, loneliness;music video;JW;DS
1088;video;Retrospective;https://www.youtube.com/watch?v=tToCXN389dI;Test - CO.AG Music;28-02-2020;YouTube;28-02-2020;UK;0;1;0;0;1;0;UK;english;lab;ambient, dance/electronica;fear, lament, dreary;still, news report, sampling, theme music;JW;DS
1010;video;Retrospective;https://www.youtube.com/watch?v=klRWrIvb3a4;"Hamsterkauf Lied Song ""Corona Vir'n"" Song zur Lage  Hamsterkäufe Coronalied, Cordula Grün Cover";29-02-2020;YouTube;29-02-2020;Denmark;0;0;1;0;0;0;Germany;german;home;rock, pop ;happiness;lyric video;JV, MT;JW
1011;video;Retrospective;https://www.youtube.com/watch?v=HVCZch6pRX0;Coronavirus Chanson Algérie;29-02-2020;YouTube;29-02-2020;Denmark;0;1;1;0;0;0;Algeria;arabic;home;world, pop, dance/electronica;being moved, sadness, relaxation;religious;JV, MT;JW
1013;video;Retrospective;https://www.youtube.com/watch?v=MSLZqTt9Cl8;rai musique Coronavirus 2020;29-02-2020;YouTube;29-02-2020;USA;1;1;1;1;0;0;Algeria;arabic;studio, home;world, pop, dance/electronica;happiness, togetherness, being moved;NA;JV, MT;JW
1091;video;Retrospective;https://www.youtube.com/watch?v=gd56XuOnooQ;CoronaVirus - Pamflet;29-02-2020;YouTube;29-02-2020;USA;0;1;1;0;0;1;Romania;romanian;outside, supermarket, parliament, village, hospital, healthcare;rap/hip-hop;resilience, anger, togetherness;lyric video, political, patriotism, slide show;NCH;JW
1092;video;Retrospective;https://www.youtube.com/watch?v=J8_fj5FHB5c;Coronavirus Black Metal - THE END IS NEAR 2020 COVID-19;29-02-2020;YouTube;28-02-2020;USA;0;1;1;0;0;0;Mexico;english, italian;outside, forest;heavy metal, black metal, DSBM, black doom, danger music;anger, fear, pain, despair;still;NCH;JW
693;video;SurveyXact;https://www.youtube.com/watch?v=S8Pvmbc5jig;Greek Island Coronavirus Song;01-03-2020;YouTube;NA;NA;1;1;1;0;0;1;Greece;greek;outside, beach;folk, world;happiness, humour;misinformation;MT;DS
695;video;SurveyXact;https://www.youtube.com/watch?v=zl-T3HXY6hE;Here is one from Indonesia. Waspada & Do'a LAGU VIRUS CORONA 4 BAHASA - Gafarock (Nada Asli lagu Jaranan Karya Ki Hadisukatno);01-03-2020;YouTube;NA;NA;1;0;1;0;0;0;Indonesia;indonesian;outside, forest;rock, heavy metal, world;humour, anger;music video;MT;NCH
1015;video;Retrospective;https://www.youtube.com/watch?v=_0DS4vQiKX0;Corona - Rhythm of the Night (Anti-Coronavirus Remix by JK Sax);01-03-2020;YouTube;01-03-2020;Denmark;0;0;0;0;0;0;Lithuania;NA;home;dance/electronica;happiness, groove;instrumental;JB;JW
1016;video;Retrospective;https://www.youtube.com/watch?v=kyEBXM38d2o;Corona Virus Song Remix;01-03-2020;YouTube;01-03-2020;Denmark;1;0;1;1;0;0;Lebanon;arabic;tv studio;world, folk;happiness;participatory music making, lyric video;JB;JW
1017;video;Retrospective;https://www.youtube.com/watch?v=SzFXueifSrA;Stay safe everyone! My Corona Boogie for you;01-03-2020;YouTube;01-03-2020;USA;0;1;1;0;1;0;Switzerland;english;home;jazz, swing;humour, happiness;NA;JB;JW
691;video;SurveyXact;https://twitter.com/Nate_Tice/status/1245477748430131200;Neighbourhood brass - Twitter;02-03-2020;Twitter;NA;NA;1;0;0;0;0;0;USA;NA;outside;brass, oldies, rock, blues, soul/R&B;happiness, togetherness;NA;MT;JV, JB
1018;video;Retrospective;https://www.youtube.com/watch?v=g6lkF6FjtCo;CORONA SONG (Bums Bums Corona);02-03-2020;YouTube;02-03-2020;Denmark;0;1;1;1;1;1;Germany;german;animation;pop, dance/electronica;humour, frustation, happiness, jolliness;chromakeying, puppet show, lyric video;MT;JB
1019;video;Retrospective;https://www.youtube.com/watch?v=nFniVlJvadc;Coronavirus on Harp by Alexander Boldachev;02-03-2020;YouTube;02-03-2020;USA;0;1;0;0;0;0;Switzerland;NA;home, outside;classical, soundtrack/theme song;grief/sadness, anxiety, tension;compilation, instrumental, empty streets;MT;JB
1020;video;Retrospective;https://www.youtube.com/watch?v=-qvvDEx4PXs;BTS ON Viral Song traducao;02-03-2020;YouTube;02-03-2020;Italy;1;0;1;1;0;1;Portugal;korean;outside;pop, dance/electronica, rap/hip-hop;anger, frustration, loneliness;music video, translation, lyric video;MT;JB
1084;video;Retrospective;https://www.youtube.com/watch?v=HNJNOuMmlOU;Coronavirus greek song;02-03-2020;YouTube;02-03-2020;Denmark;1;0;1;0;0;0;Greece;greek;home;folk, traditional;grief/sadness, humour, happiness;translation;JB;JW
73;video;GoogleSheet;https://www.youtube.com/watch?v=ZLHTTVhLBIY;VU ÐI<U+1EC6>U R<U+1EEC>A TAY - GHEN CÔ VY | Dance Tutorial (Part 1);03-03-2020;YouTube;NA;NA;0;0;1;1;1;0;Vietnam;vietnamese;home;dance/electronica, pop;humour;dance, educational;MT;JB
1021;video;Retrospective;https://www.youtube.com/watch?v=HgavXmXH1es;Corona-Song;03-03-2020;YouTube;03-03-2020;USA;1;0;1;1;1;0;Switzerland;german;home;pop;humour, happiness, loneliness;lyric video;NCH;MT
1022;video;Retrospective;https://www.youtube.com/watch?v=0lX1sPTHoyE;MALACHI ASANDE - CORONA VIRUS (OFFICIAL VIDEO);03-03-2020;YouTube;03-03-2020;UK;0;1;1;1;0;1;Kenya;swahili;outside;world;humour, happiness, helplessness, togetherness, grief/sadness;religious, music video;NCH;MT
1023;video;Retrospective;https://www.youtube.com/watch?v=hVa4RspUptg;OCSB Students Sing a Message of Love | Coronavirus;03-03-2020;YouTube;03-03-2020;Denmark;1;0;0;0;0;0;Canada;chinese;school;ballad, pop;togetherness, being moved;choir;NCH;MT
1024;video;Retrospective;https://www.youtube.com/watch?v=u0a0UAaq0fk;I Can't Get No (Desinfection) | zibb & radioeins;03-03-2020;YouTube;03-03-2020;Denmark;0;0;1;1;1;1;Germany;german;outside, home;rock, pop;humour, frustration;music video;NCH;MT
